Австралия;1;2
Австрия;2;1
Азербайджан;3;1
Албания;4;1
Алжир;5;3
Американские Виргинские о-ва;218;4
Американское Самоа;206;2
Ангилья;214;4
Англия;6;1
Ангола;7;3
Андорра;8;1
Антигуа и Барбуда;190;4
Аргентина;10;5
Армения;11;1
Аруба;188;4
Афганистан;12;2
Багамские о-ва;192;4
Бангладеш;13;2
Барбадос;14;4
Бахрейн;15;2
Беларусь;16;1
Белиз;17;4
Бельгия;18;1
Бенин;22;3
Бермудские о-ва;19;4
Болгария;20;1
Боливия;21;5
Босния и Герцеговина;23;1
Ботсвана;24;3
Бразилия;25;5
Британские Виргинские о-ва;195;4
Бруней;26;2
Буркина Фасо;27;3
Бурунди;28;3
Бутан;198;2
Вануату;29;2
Венгрия;30;1
Венесуэла;31;5
Восточный Тимор;215;2
Вьетнам;181;2
Габон;32;3
Гаити;184;4
Гайана;37;5
Гамбия;33;3
Гана;34;3
Гваделупа;35;4
Гватемала;36;4
Гвиана;220;5
Гвинея;38;3
Гвинея-Бисау;39;3
Германия;40;1
Гибралтар;41;1
Голландия;42;1
Гондурас;43;4
Гонконг;44;2
Гренада;45;4
Греция;47;1
Грузия;48;1
Гуам;182;2
Дания;49;1
Джибути;51;3
Доминика;52;4
Доминиканская Респ.;185;4
ДР Конго;54;3
Египет;53;3
Замбия;55;3
Зимбабве;56;3
Израиль;57;1
Индия;179;2
Индонезия;58;2
Иордания;59;2
Ирак;60;2
Иран;61;2
Ирландия;62;1
Исландия;63;1
Испания;64;1
Италия;65;1
Йемен;66;2
Кабо-Верде;67;3
Казахстан;68;1
Каймановы о-ва;186;4
Камбоджа;69;2
Камерун;70;3
Канада;71;4
Катар;72;2
Кения;73;3
Кипр;74;1
Китай;75;2
Китайский Тайбэй;212;2
КНДР;130;2
Колумбия;76;5
Коморские о-ва;209;3
Конго;77;3
Коста-Рика;78;4
Кот-Дивуар;79;3
Куба;80;4
Кувейт;81;2
Кыргызстан;82;2
Кюрасао;9;4
Лаос;83;2
Латвия;84;1
Лесото;85;3
Либерия;86;3
Ливан;87;2
Ливия;88;3
Литва;89;1
Лихтенштейн;90;1
Люксембург;91;1
Маврикий;199;3
Мавритания;92;3
Мадагаскар;93;3
Макао;210;2
Македония;94;1
Малави;95;3
Малайзия;96;2
Мали;97;3
Мальдивы;98;2
Мальта;99;1
Марокко;100;3
Мартиника;204;4
Мексика;101;1
Мозамбик;103;3
Молдова;104;1
Монголия;106;2
Монтсеррат;216;4
Мьянма;183;2
Намибия;107;3
Непал;108;2
Нигер;109;3
Нигерия;110;3
Никарагуа;111;4
Нов. Зеландия;113;2
Новая Каледония;205;2
Норвегия;114;1
О-ва Кука;115;2
ОАЭ;178;2
Оман;116;2
Пакистан;117;2
Палестина;211;2
Панама;118;4
Папуа Новая Гвинея;112;2
Парагвай;119;5
Перу;120;5
Польша;121;1
Португалия;122;1
Пуэрто Рико;123;4
Реюньон;208;3
Россия;124;1
Руанда;125;3
Румыния;126;1
Сальвадор;127;4
Самоа;196;2
Сан Томе и Принсипи;207;3
Сан-Марино;128;1
Сауд. Аравия;129;2
Свазиленд;197;3
Сев. Ирландия;131;1
Сейшельские о-ва;180;3
Сенегал;132;3
Сент-Винсент;133;4
Сент-Китс и Невис;187;4
Сент-Люсия;194;4
Сербия;174;1
Сингапур;134;2
Сирия;135;2
Словакия;136;1
Словения;137;1
Соломоновы о-ва;200;2
Сомали;138;3
Судан;139;3
Суринам;140;5
США;141;4
Сьерра Леоне;142;3
Таджикистан;143;2
Таиланд;145;2
Таити;201;2
Танзания;146;3
Теркс и Кайкос;213;4
Того;147;3
Тонга;202;2
Тринидад и Тобаго;148;4
Тувалу;219;2
Тунис;149;3
Туркменистан;150;2
Турция;151;1
Уганда;152;3
Узбекистан;153;2
Украина;154;1
Уругвай;155;5
Уэльс;156;1
Фареры;157;1
Фиджи;191;2
Филиппины;158;2
Финляндия;159;1
Франция;160;1
Хорватия;161;1
ЦАР;162;3
Чад;193;3
Черногория;189;1
Чехия;163;1
Чили;164;5
Швейцария;165;1
Швеция;166;1
Шотландия;167;1
Шри Ланка;168;2
Эквадор;169;5
Экваториальная Гвинея;203;3
Эритрея;170;3
Эстония;171;1
Эфиопия;172;3
ЮАР;173;3
Южная Корея;175;2
Южный Судан;217;3
Ямайка;176;4
Япония;177;2
